name
Steve Guttenberg
Mickey Rourke
Daniel Stern
Orson Bean
Mark Keyloun
Tommy Citera
Maria Tucci
David Strathairn
Didi Velez
Renan Demirkan
Udo Lindenberg
Inga Humpe
Tana Schanzara
Lori Singer
John Lithgow
Dianne Wiest
Jami Gertz
Paul Rodriguez
Rudy Ramos
Bob Balaban
Barbara Barrie
Michael Beach
Tom Atkins
Lindsay Crouse
Kyra Sedgwick
Sean Astin
Jonathan Ward
K.C. Martel
Elizabeth McGovern
Alec Baldwin
James Ray
Jennifer Jason Leigh
Emily Longstreth
J.T. Walsh
Gary Oldman
Tess Harper
Karen Young
Patrick Dempsey
Kate Jackson
Robert Ginty
Nancy Valen
Kiefer Sutherland
Julia Roberts
William Baldwin
Fred Ward
Finn Carter
Michael Gross
Elizabeth Perkins
Nathan Lane
Anthony LaPaglia
Kyra Sedgwick
Bruce Payne
Kristin Dattilo
Linda Fiorentino
John Malkovich
Joe Mantegna
Tom Cruise
Jack Nicholson
Demi Moore
Charles Gitonga Maina
Yolanda Vazquez
Winston Ntshona
Meryl Streep
David Strathairn
Joseph Mazzello
Tom Hanks
Bill Paxton
Gary Sinise
Bob Hoskins
Bridget Fonda
Jim Cummings
Christian Slater
Gary Oldman
Embeth Davidtz
Robert De Niro
Brad Pitt
Jason Patric
Evan Rachel Wood
Mary Stuart Masterson
Marian Seldes
Shabana Azmi
Madhuri Dixit
Ayub Khan
Shilpa Shirodkar
Jennifer Aniston
Jay Mohr
Olympia Dukakis
Brad Renfro
Maximilian Schell
Calista Flockhart
Neve Campbell
Matt Dillon
Denise Richards
Elya Baskin
James Doohan
Michael Harkins
Robert Mann
Teresa Gilmore
Paul Bollen
Rene Featherstone
Frankie Muniz
Diane Lane
Luke Wilson
Elisabeth Shue
Josh Brolin
Kim Dickens
Zachary David Cope
Kathryn Erbe
Illeana Douglas
Charlize Theron
Courtney Love
Stuart Townsend
Sean Penn
Tim Robbins
Emmy Rossum
Kyra Sedgwick
Yasiin Bey
David Alan Grier
Colin Firth
Alison Lohman
David Hayman
Kyra Sedgwick
Dominic Scott Kay
Campbell Scott
Nagarjuna Akkineni
Sonu Sood
Ayesha Takia
Anushka Shetty
Brendan Fraser
